frame,dx,dy,angle
1, 1.999982, -0.067004, -0.000284
2, 1.069181, 0.469017, -0.000334
3, 1.849502, 0.292289, -0.000173
4, 0.498215, -1.479654, 0.001445
5, -0.313118, -2.369227, 0.002224
6, -0.817495, -3.838377, 0.003249
7, -1.635001, -3.338226, 0.002371
8, -1.646953, -2.572402, 0.001782
9, -1.510477, -2.013596, 0.001291
10, -0.953844, -1.724591, 0.001254
11, -0.528599, -0.444577, 0.000184
12, -1.078333, -0.262039, -0.000139
13, -0.555191, -1.326761, 0.000829
14, 0.745120, -2.290862, 0.001772
15, -0.973484, -2.495832, 0.001128
16, 0.647958, -2.811219, 0.001821
17, 0.248417, -4.532745, 0.003238
18, 0.509479, -3.277211, 0.002276
19, 1.030394, -1.357192, 0.000544
20, 0.857726, 0.935563, -0.001298
21, 0.627574, 1.130594, -0.001661
22, -0.271991, 0.600907, -0.001093
23, -0.923180, 0.596566, -0.001264
24, -0.811534, 1.461890, -0.002397
25, 0.788968, 1.073872, -0.002049
26, 1.488998, -0.315196, -0.000611
27, 1.093642, -1.131686, 0.000052
28, 0.355433, 1.793180, -0.001684
29, 1.675955, 4.424397, -0.005345
30, 2.998461, 6.805978, -0.005690
31, 3.344754, 7.345025, -0.006085
32, 10.056110, 8.750066, -0.004358
33, 12.405127, 11.589689, -0.004981
34, 9.489651, 8.831337, -0.001944
35, 3.824079, 6.980049, -0.002873
36, 4.890515, 9.976353, -0.002988
37, 2.620764, 12.377602, -0.005134
38, 5.179375, 16.250752, -0.006390
39, 0.827920, 10.504606, -0.006569
40, -1.923293, 4.554258, -0.004172
41, -0.966153, 0.131209, -0.001543
42, 1.535471, -4.286987, 0.001383
43, 11.580777, -4.114048, 0.001139
44, 7.528647, -12.500090, 0.009578
45, 4.689584, -12.059218, 0.011317
46, 5.516935, -8.126820, 0.010305
47, -5.722069, -4.612199, 0.007939
48, -9.508452, 2.936532, 0.004950
49, -9.107520, 6.165715, 0.001663
50, -7.957696, -0.765950, -0.001269
51, -10.747494, 2.112682, -0.006435
52, -9.854193, 1.591522, -0.007613
53, -8.774595, -2.318337, -0.008107
54, -6.328456, -3.433525, -0.004739
55, -3.852637, -6.244502, 0.000941
56, -3.728891, -9.410852, 0.004998
57, -0.609011, -16.581313, 0.012147
58, -0.762773, -21.757503, 0.015445
59, -8.234696, -22.492830, 0.011451
60, -7.135812, -12.962843, 0.006437
61, -20.548086, -5.627210, -0.002390
62, -14.183024, 10.927651, -0.011709
63, -16.089715, 8.915670, -0.009432
64, -13.592150, 7.252569, -0.005758
65, -7.374719, 1.032154, -0.002266
66, -3.842229, 0.991133, -0.001458
67, -0.571340, -0.574170, 0.000131
68, -6.703138, -6.284758, 0.005065
69, -14.075804, -4.126149, 0.007738
70, -9.320239, 1.770611, 0.003133
71, -4.460239, 2.524743, 0.000443
72, -5.088308, 1.458541, -0.000569
73, -3.587614, -0.205192, 0.000923
74, -4.640451, -6.162673, 0.005111
75, -4.495593, -4.266582, 0.003520
76, -5.787878, -2.224064, 0.001039
77, -7.176888, -0.592183, -0.000482
78, -8.906299, -1.017135, -0.001698
79, -8.420001, 2.027748, -0.005547
80, -7.377114, 2.530892, -0.006588
81, -6.753349, 0.000127, -0.004423
82, -5.093962, -2.522643, -0.000776
83, -4.031794, -1.846747, 0.000505
84, -3.958817, -2.767836, 0.002981
85, -4.907598, -3.471041, 0.005305
86, -16.150992, 7.166331, 0.004438
87, -5.431457, 0.233119, 0.004071
88, -5.938272, -3.040606, 0.005247
89, -5.311491, -7.157216, 0.007045
90, -6.052157, -9.756892, 0.006944
91, -20.906086, -22.254211, 0.007493
92, -18.209964, -17.867161, -0.000285
